"runner","100m","Long.jump","Shot.put","High.jump","400m","110m.hurdle","Discus","Pole.vault","Javeline","1500m","Points"
"Sebrle",10.85,7.84,16.36,2.12,48.36,14.05,48.72,5.00,70.52,280.01,8893
"Clay",10.44,7.96,15.23,2.06,49.19,14.13,50.11,4.90,69.71,282.00,8820
"Karpov",10.50,7.81,15.93,2.09,46.81,13.97,51.65,4.60,55.54,278.11,8725
"Macey",10.89,7.47,15.73,2.15,48.97,14.56,48.34,4.40,58.46,265.42,8414
"Warners",10.62,7.74,14.48,1.97,47.97,14.01,43.73,4.90,55.39,278.05,8343
"Zsivoczky",10.91,7.14,15.31,2.12,49.40,14.95,45.62,4.70,63.45,269.54,8287
"Hernu",10.97,7.19,14.65,2.03,48.73,14.25,44.72,4.80,57.76,264.35,8237
"Nool",10.80,7.53,14.26,1.88,48.81,14.80,42.05,5.40,61.33,276.33,8235
"Bernard",10.69,7.48,14.80,2.12,49.13,14.17,44.75,4.40,55.27,276.31,8225
"Schwarzl",10.98,7.49,14.01,1.94,49.76,14.25,42.43,5.10,56.32,273.56,8102
"Pogorelov",10.95,7.31,15.10,2.06,50.79,14.21,44.60,5.00,53.45,287.63,8084
"Schoenbeck",10.90,7.30,14.77,1.88,50.30,14.34,44.41,5.00,60.89,278.82,8077
"Barras",11.14,6.99,14.91,1.94,49.41,14.37,44.83,4.60,64.55,267.09,8067
"Smith",10.85,6.81,15.24,1.91,49.27,14.01,49.02,4.20,61.52,272.74,8023
"Averyanov",10.55,7.34,14.44,1.94,49.72,14.39,39.88,4.80,54.51,271.02,8021
"Ojaniemi",10.68,7.50,14.97,1.94,49.12,15.01,40.35,4.60,59.26,275.71,8006
"Smirnov",10.89,7.07,13.88,1.94,49.11,14.77,42.47,4.70,60.88,263.31,7993
"Qi",11.06,7.34,13.55,1.97,49.65,14.78,45.13,4.50,60.79,272.63,7934
"Drews",10.87,7.38,13.07,1.88,48.51,14.01,40.11,5.00,51.53,274.21,7926
"Parkhomenko",11.14,6.61,15.69,2.03,51.04,14.88,41.90,4.80,65.82,277.94,7918
"Terek",10.92,6.94,15.15,1.94,49.56,15.12,45.62,5.30,50.62,290.36,7893
"Gomez",11.08,7.26,14.57,1.85,48.61,14.41,40.95,4.40,60.71,269.70,7865
"Turi",11.08,6.91,13.62,2.03,51.67,14.26,39.83,4.80,59.34,290.01,7708
"Lorenzo",11.10,7.03,13.22,1.85,49.34,15.38,40.22,4.50,58.36,263.08,7592
"Karlivans",11.33,7.26,13.30,1.97,50.54,14.98,43.34,4.50,52.92,278.67,7583
"Korkizoglou",10.86,7.07,14.81,1.94,51.16,14.96,46.07,4.70,53.05,317.00,7573
"Uldal",11.23,6.99,13.53,1.85,50.95,15.09,43.01,4.50,60.00,281.70,7495
"Casarsa",11.36,6.68,14.92,1.94,53.20,15.39,48.66,4.40,58.62,296.12,7404
